id,json_body,trade_time_int,pair
392,"{""rate"":""265023.0""}",20170529131803,btc_jpy
393,"{""rate"":""265117.0""}",20170529131813,btc_jpy
394,"{""rate"":""264975.5""}",20170529131823,btc_jpy
395,"{""rate"":""264888.5""}",20170529131833,btc_jpy
396,"{""rate"":""264821.0""}",20170529131843,btc_jpy
397,"{""rate"":""264667.5""}",20170529131853,btc_jpy
398,"{""rate"":""264600.0""}",20170529131904,btc_jpy
399,"{""rate"":""264798.0""}",20170529131914,btc_jpy
400,"{""rate"":""264671.5""}",20170529131924,btc_jpy
401,"{""rate"":""264883.5""}",20170529131934,btc_jpy
402,"{""rate"":""264929.5""}",20170529131944,btc_jpy
403,"{""rate"":""264758.5""}",20170529131954,btc_jpy
404,"{""rate"":""264877.0""}",20170529132004,btc_jpy
405,"{""rate"":""264937.0""}",20170529132014,btc_jpy
406,"{""rate"":""264591.5""}",20170529132024,btc_jpy
407,"{""rate"":""264593.0""}",20170529132034,btc_jpy
408,"{""rate"":""264514.0""}",20170529132044,btc_jpy
409,"{""rate"":""264509.0""}",20170529132054,btc_jpy
410,"{""rate"":""264422.5""}",20170529132104,btc_jpy
411,"{""rate"":""264224.5""}",20170529132114,btc_jpy
412,"{""rate"":""264555.0""}",20170529132124,btc_jpy
413,"{""rate"":""264655.5""}",20170529132134,btc_jpy
414,"{""rate"":""264547.5""}",20170529132145,btc_jpy
415,"{""rate"":""264505.5""}",20170529132155,btc_jpy
416,"{""rate"":""264505.5""}",20170529132205,btc_jpy
417,"{""rate"":""264685.5""}",20170529132215,btc_jpy
418,"{""rate"":""264613.0""}",20170529132225,btc_jpy
419,"{""rate"":""264560.5""}",20170529132235,btc_jpy
420,"{""rate"":""264506.0""}",20170529132245,btc_jpy
421,"{""rate"":""264532.5""}",20170529132255,btc_jpy
422,"{""rate"":""264394.0""}",20170529132305,btc_jpy
423,"{""rate"":""264420.5""}",20170529132315,btc_jpy
424,"{""rate"":""264259.0""}",20170529132325,btc_jpy
425,"{""rate"":""264350.0""}",20170529132335,btc_jpy
426,"{""rate"":""264192.0""}",20170529132345,btc_jpy
427,"{""rate"":""264133.0""}",20170529132355,btc_jpy
428,"{""rate"":""264280.5""}",20170529132405,btc_jpy
429,"{""rate"":""264315.5""}",20170529132415,btc_jpy
430,"{""rate"":""264159.0""}",20170529132425,btc_jpy
431,"{""rate"":""264097.0""}",20170529132435,btc_jpy
432,"{""rate"":""263877.5""}",20170529132446,btc_jpy
433,"{""rate"":""263995.0""}",20170529132456,btc_jpy
434,"{""rate"":""263995.0""}",20170529132506,btc_jpy
435,"{""rate"":""264385.5""}",20170529132516,btc_jpy
436,"{""rate"":""264680.0""}",20170529132526,btc_jpy
437,"{""rate"":""264637.5""}",20170529132536,btc_jpy
438,"{""rate"":""264552.0""}",20170529132546,btc_jpy
439,"{""rate"":""264403.5""}",20170529132556,btc_jpy
440,"{""rate"":""264358.0""}",20170529132606,btc_jpy
441,"{""rate"":""264422.5""}",20170529132616,btc_jpy
442,"{""rate"":""264582.0""}",20170529132626,btc_jpy
443,"{""rate"":""264480.0""}",20170529132636,btc_jpy
444,"{""rate"":""264372.0""}",20170529132648,btc_jpy
445,"{""rate"":""264336.0""}",20170529132658,btc_jpy
446,"{""rate"":""264397.5""}",20170529132708,btc_jpy
447,"{""rate"":""264283.0""}",20170529132718,btc_jpy
448,"{""rate"":""264298.5""}",20170529132728,btc_jpy
449,"{""rate"":""264464.5""}",20170529132738,btc_jpy
450,"{""rate"":""264259.0""}",20170529132748,btc_jpy
451,"{""rate"":""264426.0""}",20170529132758,btc_jpy
452,"{""rate"":""264405.0""}",20170529132808,btc_jpy
453,"{""rate"":""264312.5""}",20170529132818,btc_jpy
454,"{""rate"":""264242.0""}",20170529132828,btc_jpy
455,"{""rate"":""264264.5""}",20170529132840,btc_jpy
456,"{""rate"":""264426.0""}",20170529132850,btc_jpy
457,"{""rate"":""264271.0""}",20170529132900,btc_jpy
458,"{""rate"":""264285.5""}",20170529132910,btc_jpy
459,"{""rate"":""264659.0""}",20170529132920,btc_jpy
460,"{""rate"":""264861.5""}",20170529132930,btc_jpy
461,"{""rate"":""264810.5""}",20170529132940,btc_jpy
462,"{""rate"":""264803.0""}",20170529132950,btc_jpy
